"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 16 17:28:28 GMT 2024","Sun Jun 16 17:28:28 GMT 2024","52","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Sun Jun 16 17:28:10 GMT 2024","Sun Jun 16 17:28:11 GMT 2024","732","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sun Jun 16 17:28:12 GMT 2024","Sun Jun 16 17:28:12 GMT 2024","14","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Sun Jun 16 17:28:11 GMT 2024","Sun Jun 16 17:28:11 GMT 2024","16","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sun Jun 16 17:28:12 GMT 2024","Sun Jun 16 17:28:12 GMT 2024","360","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Sun Jun 16 17:28:12 GMT 2024","Sun Jun 16 17:28:12 GMT 2024","12","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Sun Jun 16 17:28:27 GMT 2024","Sun Jun 16 17:28:28 GMT 2024","856","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Sun Jun 16 17:28:12 GMT 2024","Sun Jun 16 17:28:12 GMT 2024","11","tests.api","test_api_signup","","","","test_should_return_400_if_missing_roles",""
"passed","Sun Jun 16 17:28:13 GMT 2024","Sun Jun 16 17:28:13 GMT 2024","49","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Sun Jun 16 17:28:26 GMT 2024","Sun Jun 16 17:28:26 GMT 2024","685","tests.ui","test_login","","","","test_failed_login",""
"passed","Sun Jun 16 17:28:13 GMT 2024","Sun Jun 16 17:28:13 GMT 2024","8","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"failed","Sun Jun 16 17:28:12 GMT 2024","Sun Jun 16 17:28:12 GMT 2024","12","tests.api","test_api_signup","","","","test_should_return_400_if_invalid_role",""
"passed","Sun Jun 16 17:28:11 GMT 2024","Sun Jun 16 17:28:12 GMT 2024","320","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Sun Jun 16 17:28:12 GMT 2024","Sun Jun 16 17:28:12 GMT 2024","310","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sun Jun 16 17:28:13 GMT 2024","Sun Jun 16 17:28:13 GMT 2024","9","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Sun Jun 16 17:28:24 GMT 2024","Sun Jun 16 17:28:24 GMT 2024","43","tests.ui","test_home","","","","test_successful_login",""
"passed","Sun Jun 16 17:28:12 GMT 2024","Sun Jun 16 17:28:13 GMT 2024","317","tests.api","test_api_signup","","","","test_signup_existing_user_account",""
"passed","Sun Jun 16 17:28:20 GMT 2024","Sun Jun 16 17:28:23 GMT 2024","2518","tests.ui","test_edit","","","","test_edit",""
"passed","Sun Jun 16 17:28:24 GMT 2024","Sun Jun 16 17:28:25 GMT 2024","683","tests.ui","test_login","","","","test_successful_login",""
"passed","Sun Jun 16 17:28:16 GMT 2024","Sun Jun 16 17:28:17 GMT 2024","682","tests","test_login","","","","test_failed_login",""
"passed","Sun Jun 16 17:28:12 GMT 2024","Sun Jun 16 17:28:12 GMT 2024","22","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Sun Jun 16 17:28:18 GMT 2024","Sun Jun 16 17:28:19 GMT 2024","676","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Sun Jun 16 17:28:15 GMT 2024","Sun Jun 16 17:28:16 GMT 2024","764","tests","test_login","","","","test_successful_login",""
